internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year,date
CUBEDODGE,Cube Dodge,/game/cube-dodge/,5dmWASIZ1%2Bwvsd9F3NMUWt1apOlmuO5Z7Ef%2FF1MOvjY%3D,1,314187,0.79,15.99,1,95.059412,0,,0,0,2182710,1667260800,1770414706,3.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2182710/capsule_231x87.jpg?t=1767728752,2022-11-01 00:00:00+00:00,2022,11/01/22
STARHIVETHEMENACE,Star Hive: The Menace,/game/star-hive-the-menace/,%2FKD5o2nfM5BN3KtB%2FaWd8yLX972Weo033FXqE6pHJJM%3D,1,314188,0.79,15.99,1,95.059412,0,,0,0,2260310,1677715200,1770414706,3.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2260310/capsule_231x87.jpg?t=1710697160,2023-03-02 00:00:00+00:00,2023,03/02/23
EXTREMEOVERTAKE,Extreme Overtake,/game/extreme-overtake/,rE8me7jKWOD%2BlQMdVZ6znY%2BZuvAdwmcJr3ZDeWImL4Q%3D,1,314890,0.79,15.99,1,95.059412,0,,0,0,3138100,1733529600,1769470525,2.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3138100/617aa7c0ead778ef5cf439723f59feee5fe8a276/capsule_231x87.jpg?t=1752795324,2024-12-07 00:00:00+00:00,2024,12/07/24
JUSTMOVEFALLDUNGEONENDLESSABYSS,Just Move Fall Dungeon Endless Abyss,,MUcy6mJcRWSyRrVU6MGNcJAlsUpDljZNJMVL2vRQXV0%3D,1,315908,0.79,15.99,1,95.059412,0,,0,0,3856040,0,1770509356,3.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3856040/0936541b60f81a9ebde0c5a223ca1b1c466dde62/capsule_231x87.jpg?t=1764891731,1970-01-01 00:00:00+00:00,1970,01/01/70
UNCLAIMEDWORLD,Unclaimed World,/game/unclaimed-world/,oOIeSWUAU6bwhCt8eVnsnELwb%2FXff3yYYMvmf%2FezlBA%3D,1,107953,0.84,16.99,1,95.055915,0,Mixed,49,176,284100,1475539200,1770002642,6.7,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/284100/capsule_231x87.jpg?t=1487698153,2016-10-04 00:00:00+00:00,2016,10/04/16
EVERSPACE,Everspace,/game/everspace/,cmJeDS%2FYRfcKqU0nGBqIp0eYF5YrqMxmfQstbG36y5g%3D,1,157493,0.99,19.99,1,95.047524,79,Mostly Positive,77,5027,396750,1495670400,1770680964,9.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/396750/capsule_231x87.jpg?t=1762910991,2017-05-25 00:00:00+00:00,2017,05/25/17
BIKERGARAGEMECHANICSIMULATOR,Biker Garage: Mechanic Simulator,,dIprN6dylqA9wQJcEpWp06fFc5dG1%2B5akch8DDb7w%2FE%3D,1,207698,1.24,24.99,1,95.038015,0,Mixed,67,463,989770,0,1770325564,7.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/989770/capsule_231x87.jpg?t=1770738260,1970-01-01 00:00:00+00:00,1970,01/01/70
SLASHITULTIMATE,Slash It Ultimate,/game/slash-it-ultimate/,Yd1zCCILo2XAA9OcMJKS8iHW%2F8bTo3jiIrk0zT4Ak8M%3D,1,170934,1.49,29.99,1,95.031677,0,Mostly Positive,70,444,656600,1499990400,1770329232,7.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/656600/capsule_231x87.jpg?t=1696796772,2017-07-14 00:00:00+00:00,2017,07/14/17
TRAILBLAZERS,Trailblazers,/game/trailblazers/,EHqvz5JEyuy01KCkaVg%2BLw0rbZjwsdLe2mcgudZnXVE%3D,1,186824,1.49,29.99,1,95.031677,69,Mixed,53,69,621970,1525737600,1770671971,5.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/621970/capsule_231x87.jpg?t=1587729040,2018-05-08 00:00:00+00:00,2018,05/08/18
SLASHIT2,Slash It 2,/game/slash-it-2/,fHna3lya0ALtzqaST8SxfDfslj1I57nk1qGpafLWVx8%3D,1,291715,1.99,39.99,1,95.023756,0,Very Positive,88,875,583760,1485216000,1770325603,7.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/583760/capsule_231x87.jpg?t=1696796730,2017-01-24 00:00:00+00:00,2017,01/24/17
SLASHIT,Slash It,/game/slash-it/,qFKaJ3bBe87AnobTK%2FdQocXeeZmGrsf94C4NiylYfJk%3D,1,164245,1.99,39.99,1,95.023756,0,Very Positive,88,761,567290,1481932800,1770325774,7.1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/567290/capsule_231x87.jpg?t=1696796727,2016-12-17 00:00:00+00:00,2016,12/17/16
NICKELODEONALLSTARBRAWL,Nickelodeon All-Star Brawl,/game/nickelodeon-all-star-brawl/,kRYxE%2B2XzOJxyNCkqYBKNZri%2BhoIyGcalDiHNUSIE9s%3D,1,235398,2.49,49.99,1,95.019004,63,Mostly Positive,75,3652,1414850,1633392000,1770076485,7.9,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1414850/capsule_231x87.jpg?t=1746026335,2021-10-05 00:00:00+00:00,2021,10/05/21
XCOM2,XCOM 2,/game/xcom-2/,IVj099Jarz6odiHw35jmGZyckpjmQeAmYI0%2BFyn8i1A%3D,1,145838,2.99,59.99,1,95.015836,88,Very Positive,85,43694,268500,1454544000,1770319339,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/268500/12fd345b4a53fb5880618e73fa122d809caf6884/capsule_231x87_alt_assets_1.jpg?t=1770163090,2016-02-04 00:00:00+00:00,2016,02/04/16
HOWMUCHITEMSFISHES,How Much Items - Fishes,/game/how-much-items-fishes/,pJvvuU6Z9bR3nKvFAa07WW%2FAnod0LBl5kWgcHtWJ7%2BE%3D,1,299774,9.99,199.99,1,95.004750,0,Positive,100,11,3548380,1742169600,1769634031,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3548380/6296bb8844f30ef1238d86cbd072bda9daae4b89/capsule_231x87.jpg?t=1742228704,2025-03-17 00:00:00+00:00,2025,03/17/25
3DPUZZLEDARKFANTASY,3D PUZZLE - Dark Fantasy,/game/3d-puzzle-dark-fantasy/,gIEQl3rMSBsEM%2B2kwcTs2pQA9fXPcq8xohVAeQ9pS34%3D,1,305150,9.99,199.99,1,95.004750,0,Positive,90,11,3651730,1747958400,1769634044,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3651730/bf4cc848befe32fa5948e01926b62bfe576013e5/capsule_231x87.jpg?t=1750974525,2025-05-23 00:00:00+00:00,2025,05/23/25
ROOMFOOTBALLJUNKTOWN,ROOM FOOTBALL - Junk Town,/game/room-football-junk-town/,qwelet15bsw4gZLyzKXIiN0aP6AKwJ7lnbiQHVuo0cQ%3D,1,305151,9.99,199.99,1,95.004750,0,Positive,100,10,3710460,1747958400,1769633998,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3710460/03eec12e946f3d162531282210a81b7341be96b6/capsule_231x87.jpg?t=1748017308,2025-05-23 00:00:00+00:00,2025,05/23/25
3DPUZZLEMOUNTAINLIFE,3D PUZZLE - Mountain Life,/game/3d-puzzle-mountain-life/,J%2F0JUaHPz2G8GF5X4wbpFMJK4Kg7PEPww4mYFnfCUDM%3D,1,312710,9.99,199.99,1,95.004750,0,Positive,100,10,3746510,1760486400,1769633910,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3746510/d097c9a1847956143a0fcc9b9a07c09d15163051/capsule_231x87.jpg?t=1760557271,2025-10-15 00:00:00+00:00,2025,10/15/25
ROOMFOOTBALLDARKPLACE,ROOM FOOTBALL - Dark Place,/game/room-football-dark-place/,t6rp1zy2I5qhCB9VNu%2B%2Btsp9adcjxpP8i%2FWKhjeSjH8%3D,1,312711,9.99,199.99,1,95.004750,0,Positive,100,11,3746520,1749600000,1769634087,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3746520/cffa3c344281b6f279e4803046711617a56a2a53/capsule_231x87.jpg?t=1749646596,2025-06-11 00:00:00+00:00,2025,06/11/25
3DPUZZLEPOSTAPOCALYPTIC3,3D PUZZLE - Post-Apocalyptic 3,/game/3d-puzzle-post-apocalyptic-3/,PkZzJszKDf%2BFG9Ee1udDuAwoZ4bvfWmrL6agZyF6z3g%3D,1,315198,9.99,199.99,1,95.004750,0,Positive,84,13,2703260,1703548800,1769116871,0.0,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2703260/capsule_231x87.jpg?t=1703580285,2023-12-26 00:00:00+00:00,2023,12/26/23
